,0
126,"NNP RB VBN NN VBZ IN NNP CD NN . NNP VBZ DT NNP NN , DT VBZ JJ NN IN NNP NNP , VBZ VBN IN DT NNP NNP , DT NNP NN VBD IN NNP . NNP NNP VBD DT NNP NNP IN NNP POS , IN NNP NNP , VBG IN NNP CC VBD IN NNP IN DT NNP NNP IN NNP , VBD DT JJ JJ NN NN IN DT NNP NNP . NNP NNP NNP , NNP IN NNP , NNP PRP$ NN VBD DT VBN NN CC RB PRP VBP RB VB PRP DT RBR , NNP NNP NNP NNP NNP , VBD IN DT NN IN DT NNP NN . NNP POS JJ NN VBZ CD NNS IN DT NNP NNP IN NNP POS . NNP EX VBZ NN VBN IN PRP CC TO VB VBN TO NNP IN NNP NNP , NNP NNP NNP VBD ."
127,"NNP NNP TO VB RP IN NNP NNS . NNP NNP NNP NNS , NNP TO VB NNP NNP , MD VB JJ NNS TO VB VBN NNS IN JJ NN TO DT NN , DT NNP NN VBD IN NNP . NNP PRP VBP RB VBN VBN IN VBN NNS IN JJ NNS , VBZ PRP IN DT NNP NN IN NN NNP IN NNP , NNP NNP NNP , NN NN IN DT NN NN IN DT NNP NNP NNP , NNP NNP . NNP VBD JJ NN NNS VBD VBN VBN IN JJ NNP NNP NNS , IN NN VBN IN NN . PRP VBD DT NN IN JJ JJ NNS VBD $ CD CD IN CD . NNP NNS VBD IN $ CD CD JJ NN , CC IN CD NN IN DT JJ NNS VBD IN $ CD CD , PRP VBD . VBD DT NN IN NNP NNS VBZ RB RB NNP , RB DT JJ NN IN NNP NNS IN NNP NNS CC DT NN IN NNP NNS MD VB RB JJR , NNP NNP VBD . DT JJ NNS IN NNP NNP NNP NNP VBD DT NNP IN NN NN IN NNP NNP NNS , CC NNP VBD DT NNP MD RB VB DT NN NNP . IN NN IN DT NNP , WDT MD VB IN NN IN NNP CD , DT NNP NNP NNS MD VB VBN TO VBG NNS IN DT NN IN PRP$ NNS NNS CD NNS . NNP IN NNS VBP RB , PRP MD VB TO VB NNS IN DT NN IN PRP$ NN NNS , NNP NNP VBD . NNP DT NN IN NNP NNS MD RB VB DT NN IN NNP NNS , CC NNP VBD DT NNS VBP RB NNP VBZ DT NN IN DT NN NNP . NNP VBZ RB VBN DT NN IN DT NNP NNP POS JJ NN , CC NNP POS NNP NNP JJ NN IN NNP VBZ VBN -NONE- DT JJ NN . DT JJ NNS IN , NNP NNS VBP IN RP TO JJ NN IN JJ NNS IN NNP NNS NNP IN NNP NN NNS WDT VBZ RP VBN NNP IN DT NNP IN NNP NNP NNS CC NNP NNP NNPS NNP , NNP VBD . NNP RB JJ JJ NNS VBP JJ CC MD VB JJ NNP IN NN NNP , IN NNP NNS VBP VBG -NONE- IN JJR JJ NNS . CC DT JJ NN IN NNP NNS IN NNP NNS VBZ RB JJ , NNP PRP VBD . : NNP NNP , NNP NNP , NNP NNP NNP"
128,"NNP NNP VBZ NNP NNP NNP NNP POS NN . NNP NNP NNP NNP NNP VBZ VBG RB IN DT NN TO DT NNP NNP NNP , NNP NNP : NNP NNP CC VBZ TO VB PRP IN DT NN IN NNP , NNP NN VBD IN PRP$ NN NN . DT NNP NN IN DT NNP NNP NNP VBZ NNP $ CD CD CD IN CD NNP CD , CC $ CD CD RB RB RB . PRP VBZ DT JJS NN IN NNP NNP NNP IN NNP POS NNP NNP NNP NNP . RB , JJ NNS NNS PRP$ NN VBD NNP . NNP MD VB PRP$ NNP IN NN CC NNP , CC MD RB NNP NNP NNP NNP NNP NNP , WP MD VBZ DT NNP , DT NN VBD . PRP VBD NNP NNP : NNP NNP NN NN NNP NNP MD VB VBN NN IN DT NNP , IN DT NNS VBP VBN VBN RB . NNP , WP$ NNP VBD IN NNP NNP NNP CC DT NNP NNP NNP CC NNP PDT DT NN POS NNS NNP , RBR DT NN VBZ DT IN DT NN POS NN . RB , PRP VBZ IN NNP NNP : NNP NNP IN DT RB JJ NN , NNP NN VBD ."
129,"NNP NNP DT NNP VBD TO VB CC NNP . NNP NNP NNP NNP NNP NNP VBD VBN TO NNP DT NNP NN IN IN CD NNS IN NNP PRP$ NNP IN DT NNP NN NN IN DT JJ NN IN NNP IN NNP . NNP NNP NNP CC NNP NNP VBD RP DT NNS IN NN IN DT JJ NN CC DT NN IN DT NN VBD DT NNP TO VB DT NNP JJ NN NNP NNP NNP NNP NN IN DT NN IN DT JJ NN . NNP , NNP IN NNP NNP IN DT NNP NN IN NNP IN CD , VBD NNP NNP DT NNP IN DT NNP IN DT NNP NN NN VBD VBN RB . EX VBD JJ NNP NNP IN DT NNS CC DT NNP CC PRP VBD RB NNP WRB DT NNS VBD DT JJ NN IN NNP JJ NNP NNP NNP NNP NNP . WRB NNP NN RB NNP , DT NNP VBD DT VBN NN IN NNP NNP TO VB VBN IN DT CD TO IN JJS NNP JJ NNP NNP NNP NNP NNP ."
130,"NNP NNP NNP DT NNP NNP NNP NNP NNP NNP NNP , NNP NNP NNP NNP IN NNP POS VBG NN NNP IN NNP POS NNP NNP NNP NNP NN : NNP NNP NNP NNP NNP NNP NNP CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP"
131,"NNP NNP DT NNS IN NNP NNP . NNP NNPS NNP NNP NNP NNP , NNP NNP NNS IN DT $ NNP NNP NNP NNP NNP IN NNP NNP NNP NNP NNP NNP NNP : NNP CD CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD CD CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP IN NNP VBZ NNP NNP NNP ."
132,NNP NNP DT NNP NNP NN NNS . NNP NNP NNP IN NNP NNP NNP NNP NNP IN NNP : NNP NNP NNP NNP NNP CD NNP CD NNP CD
133,NNP NNP DT NNP JJ NN NN . NNP NNP NNP IN DT NNP JJ NN NNP NN IN NNP : NNP NNP -NONE- NNP CD
134,"NNP NNP DT NNP NN NNP NNS . NNP NNP NN IN CD NNS IN JJ NNP NNP NNP NNP NNP IN NNP : JJ NN IN NNP : NNP NNP NNP NNP NNP NNP RB IN , NNP NNP NNP : NNP NNP NNP NNP . NNP NNP NNP NNP NNP NNP , NNP NNP CD NNP . JJ NN IN NNP : NNP NNP NNP NNP NNP CD , NNP NNP NNP : NNP NNP NNP NNP . NNP NNP NNP NNP NNP CD RB IN , NNP NNP CD RB IN NNP . IN NNP : NNP NNP NNP NNP NNP CD , NNP NNP CD , NNP NNP NNP RB RP NNP NNP NNP . IN NNP : NNP NNP NNP NNP NNP NNP , NNP NNP NNP RB IN NNP NNP NNP . IN NNP : NNP NNP NNP NNP NNP NNP , NNP NNP CD , NNP NNP RB : NNP NNP NNP NNP . NNP NNP NNP NNP NNP NNS RB RP NNP . IN NNP NNP : NNP NNP NNP NNP NNP NNP RB IN , NNP NNP NNP NNP NNP NNP . IN NNP : NNP NNP NNP NNP NNP NNP , NNP NNP NNS RB IN , NNP NNP NNP : NNP NNP NNP , NNP NNP NNP NNP . NNP NNP . IN NNP : NNP NNP VBD NNP NNP NNP NNP , NNP NNP NNP RB IN , NNP NNP NNP , NNP NNP CD NNP . NNP NNP NNP NNP NNP NNP RB IN NNP ."
135,"NNP NNP DT NN VBZ IN NN TO NNP . NNP NNP NNP NNP NNP NNP NNP , VBD TO VB RB PRP$ JJ NN IN NNP TO VB VBN NN , VBZ VBN DT NNP NN PRP MD VB TO VB JJ IN PRP$ NN . NNP , WP -NONE- VBZ DT NN JJ JJ NN , VBD : NNP PRP MD VB TO VB RB CC VB NN NN IN DT NN CC PRP VBP RB VB PRP MD VB TO VB NNP . NNP NNP PRP$ NNP NN VBD NNP , NNP VBD : NNP PRP VBP VBN VBG DT NN IN DT IN CC PRP NN IN IN VBG DT NN RB PRP MD VB JJ TO JJ IN DT JJ NN IN NN . NNP"
136,"NNP NNP NNP NNP NNP NNP JJ NN NNP . NNP NNP NNP IN DT JJ NN IN DT JJ CC JJ NN IN NNP CC NNP IN DT NNP IN NNP : NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP -NONE- NNP NNP RB IN CD NNP NNP NNP NNP NNP CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NN IN NNP : NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP , NNP NNP NNP , NNP NNP NNP , NNP NNP NNP , NNP NNP NNP NNP NNP NNP NNP NNP RB RP NNP NNP NNP NNP NNP NNP NNP CD NNP NNP RB IN CD NNP NNP NNP NNP NNP CD NNP NNP IN CD NNP NNP NNP NNP IN NNP CD NNP TO NNP : NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP NNP TO NNP NNP : NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP"
137,"NNP NNP DT NNP VBZ DT RP NNP NNP IN JJ NN . NNP NNP NNP VBD DT IN IN NNP IN PRP$ JJ NNP IN DT JJ NN IN DT JJ CC JJ NN IN NNP IN DT NNP IN NNP . NNP : NNP NNP NNP NNP NNP NNP , NNP NNP NNPS . NNP NNP NNP NNP"
138,"NNP VBZ DT JJ NN IN IN NNP POS NNP NNP . NNP NNP NNP POS NNP NNP NNP NNP VBZ TO VB PRP$ NN NN POS NN IN DT NN IN PRP$ NN IN PRP MD VB VBN WRB PRP NNS . DT NN PRP VBZ DT NN , DT VBN RB IN PRP$ NN IN PRP$ NN IN PRP VBZ TO VB DT NNS , CC NNP POS NNS VBP TO NN IN IN DT NNP . NNP VBZ VBN NNP NNP PRP$ NNP : PRP VBD PRP MD VB VBN TO VB VBN DT NN NN IN DT NN IN PRP$ NN , VBZ DT NN IN DT NNS VBD . NNP PRP MD VB DT NNS NN RB TO VB IN CD PRP$ NN . NNP NNP -NONE- DT NN NN IN DT NNP NNP IN NNP IN NNP CC VBD VBN RB DT JJ NN IN NN IN NNP NNP IN NNP IN PRP$ NN NNP NNP ."
139,"NNP NNP DT NNP NN IN JJ NNP . NNP NNP PRP VBD JJ NN IN DT $ CD CD JJ JJ IN NNP IN CD NNP VBD DT NNP IN NNP NNP . NNP NNP NNP -NONE- DT JJS VBN NN IN PRP NNP NNP NNP NNP NNP NNP NNP IN RB CD NNS . NNP NNP , WP -NONE- NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP , CC NNP NNP , DT NNP VBN -NONE- IN NNP NNP IN DT NNP NNP , RB VBD CC MD VB IN NNP POS NNP . NNP NNP NNP IN NNP NNP NNP NNP NNP IN NNP NNP NNP IN DT NNP NN NN NN CC NNP NNP NNP IN NNP VBD PRP$ NNP NNP , NNP NNP NNP IN DT NNP NNP NNP NNP . NNP CC NNP CD IN DT JJ NN NN . CD NNP , NNP NNP NNP NNP CC NNP NNP NNP , MD VB IN NNP IN NNP NNP IN NNP . NNP NNP NNP NNP IN NNP NNP NNP NNP CC NNP NNP NNP NNP IN NNP NNP NNP NNP . NNP IN PRP RB VBP IN DT NN , NNP VBD DT NNP NNP IN NNP TO DT NNP NNP , NNP PRP RB RB VBD DT NN TO VB IN PRP VBD VBG JJ CC VBG IN NN TO DT NN . NNP PRP VBD RB JJ TO VB PRP$ NNS RB RB IN PRP$ NNP NNP NNP NNP NN VBD RB IN DT NNP . VBD DT CD NNS IN CC PRP VBP DT NN . NNP NNP VBD CD NNS IN NNP NNP JJR DT NN CC DT NN VBZ IN NNP VBZ VBN -NONE- DT JJ NN . NNP IN WRB PRP VBD IN NNP , PRP RB VBD PRP VBD TO VB IN NNP IN NNP CC CD NNP CC PRP VBD TO VB RP IN DT JJ NN , NNP NNP VBD . NNP RB PRP MD VB TO VB IN IN NN CC VBP RP IN CD IN DT NN . PRP RB VBP RB VB IN JJ NN NNP CC PRP VBZ VBN PRP DT RB NN . NNP NNP VBD VBN IN PRP$ NN IN NNP , PRP$ JJ IN CD NNS IN DT NNP NNP . NNP PRP VBZ RB JJ TO VB DT NN WRB PRP VBZ DT JJ NNP , RB IN NN PRP VBP RB VBN , NNP PRP VBD . NNP PRP VBD JJR JJ IN DT JJ CC JJ NNS CC DT NNP VBD RP CC IN RB VBP NNS IN CD VBD VBD RP DT RB NN . VBZ DT NNP NNP , WP VBD DT NNP NNP NN IN NNP NNP JJ NN , VBZ RB VBN CD IN PRP$ JJ CD NNP , VBG RB TO NNP NNP IN NNP NNP IN JJ NNP . PRP NNP NNP IN VBG VBG CD NNS IN . NNP PRP VBP PRP VBP VBG DT NN RB RB IN PRP VBP VBG RBR JJ NN IN PRP VBD JJ NN , NNP NNP VBD . NNP CC PRP VBP RB VBG RB . NNP NNP PRP VBD DT NN IN JJ CD IN , NNP VBD NNP IN PRP$ NN IN NNP . NNP PRP VBD RB VBN IN JJ NN CC PRP VBD VBG DT NNP . NNP RB NNP IN DT NNP NNP NNP PRP VBD IN DT JJ NN IN PRP$ NN NN IN NNP NNP IN NNP IN NNP , NNP NNP , NNP NN IN NNP EX VBD IN CD NN IN DT JJ NN . PRP VBD RB JJ NNS . NNP"
140,NNP NNP DT NNS IN JJ JJ . NNP NNP NNS IN DT JJ NNP NNP NNP IN NNP NNP NNP NNP NNP NNP NNP : JJ CD CD : NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD CD CD NNP NNP NNP NNP NNP NNP NNP CD CD NNP NNP NNP NNP NNP CD CD CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP
141,"NNP NNP NNP DT VBZ IN IN JJ NN . NNP NNP NNP NNP NNP VBZ VBN VBN IN IN NNP NNP POS NN IN DT JJ NN IN NNP NNP IN NNP IN NNP . NNP VBD DT JJ NN IN NNP IN NNP NNP CC VBD DT JJ NN IN NNP . CC NNP NNP NNP NNP NNP VBZ VBN IN DT NNP NNP CC VBZ CD TO CD , NNP NNP NNP VBD . NNP POS NNP VBZ IN NNP NNP NNP NNP NNP MD VB PRP$ NNP NNP NNP NNP NNP NNP NNP NNP . NNP NNP NNP VBZ VBN TO VB PRP$ NN , VBG NN IN -NONE- MD VB VBN IN IN NN IN DT NNP . DT NNP MD RB VB VBN IN RB IN DT NN , NNP VBD ."
142,"NNP NNP DT NNP NNP NNP NNS . JJ NNS NNP NNS IN DT NNP NNP NNP NNP IN NNP NNP NNP NNP NNP NNP NNP : NNP POS NNP , NNP CD CD NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP"
143,"NNP NNP DT NNP NNP VBZ RP IN NNP NNP . NNP NNP NNP NNP NNP NNP NNP NNP VBZ VBN IN IN DT NNP NNP NNP NNP IN DT NNP NN , NNP NNS VBD . DT NNP NNP , WP VBD TO VB NNP -NONE- , VBZ RB NN IN NNP IN DT NN NNP IN VBZ VBD PRP$ NN IN JJ NNS . NNP POS VBN NN IN DT RB NNP NN IN NNP NNP NNP NNP NNP . NNP VBD VBN CD IN DT NNP NNP NNP IN DT IN DT NNP NNP IN NNP NNP NNP IN NNP . CC IN DT NNP NNP NNP IN DT NNP , NNP MD VB VBN IN NNP POS NNP IN DT NN , IN NN MD RB VB DT NN IN DT JJ NN , VBG TO NNP NNP NNP NNS . NNP VBZ DT JJ JJ NN IN DT NN POS NN IN NNP JJ VBZ JJ IN NNP NNP CC NNP NNP NNP NNP NNP VBD RP JJR DT NN IN CD . NNS POS JJ NNP NNP NNP NNP MD RB VB DT NN POS JJ NN NN IN DT NNP NN ."
144,"NNP NN DT JJ NNP NNP IN NNP POS NNP . NNP NNP NNP NNP NNP NNP NNP IN NNP VBD IN NNP NNP NNP IN CD , VBD , JJ NN CC NNP NNP NNP : NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD CD NNP NNP NNP NNP CD NNP CD NNP CD CD NNP CD IN CD CD NNP CD NNP CD NNP NNP NNP NNP NNP NNP NNP NNP CD NNP NNP NNP CD CD NNP CD NNP CD CD NNP CD NNP CD NNP NNP CD NNP NNP NNP CD NNP NNP CD NNP NNP NNP NNP CD NNP IN NNP CD CD NNP NNP NNP CD NNP NNP CD NNP CD CD NNP CD NNP NNP , NNP NNP NNP NNP IN NNP NNP IN NNP NNP IN NNP NNP IN NNP NNP NNP IN NNP NNP IN NNP NNP NNP IN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD NNP CD NNP CD CD NNP CD NNP NNP CD NNP NNP CD NNP CD NNP NNP NNP NNP NNP NNP NNP NNP CD NNP NNP NNP CD CD NNP NNP NNP NNP NNP CD NNP NNP NNP CD CD NNP CD NNP VBZ CD CD NNP CD NNP CD CD CD NNP CD NNP NNP NNP NNP NNP CD CD NNP NNP NNP NNP NNP CD NNP CD NNP NNP CD NNP CD NNP NNP NNP CD NNS CD CD NNP , NNP NNP NNP NNP IN NNP NNP NNP NNP NNP IN NNP NNP NNP IN CD CD IN NNP NNP NNP IN NNP NNP NNP IN NNP NNP NNP IN NNP NNP"
145,NNP NN DT JJ NNP NNS NNP . NNP NNP NNP NNS IN NNP NNP NNP NNP VBD IN NNP NNP NNP NN IN NNP NNP : NNP NNP NNP CD NNP CD NNP CD NNP CD NNP CD NNP NNP CD NNP CD NNP -NONE- NNP IN CD NNP NNP NNP CD NNP NNP CD NNP CD NNP CD NNP NNP NNP CD NNP NNP CD CD CD NNP CD NNP IN CD NNP CD CD CD CD NNP NNP CD NNP CD NNP CD NNP NNP CD
146,"NNP NN DT NNP NNP VBZ IN NNP NNP NNP . NNP NNP NNP NNP NNP NNP VBD CD NNP IN CD NNP NNP IN NNP IN DT NNP CC NNP NNP VBD PRP$ JJ JJ NN IN DT NN IN DT NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP , WP VBD NNP IN DT NNP IN NNP IN NNP NNP NNP NNP NNP CC CD VBZ IN DT NN , NNP NNP CC NNP RP CD . NNP NNP VBD DT JJ CD NNP TO VB DT NN . IN CD IN IN DT NN NNP NNP NNP CC NNP NNP NNP NNP NNP NNPS NNP NNP NNP NNP NNP NNP NNP CC NNP NNP NNP . NNP VBN IN NNP DT NNP NNP RB IN DT NNP NNP IN DT NNP NN . NNP NNP NNP NNP VBD IN DT NN , WDT VBD -NONE- IN NNS IN DT NN IN DT NNP IN NN . VBP NNS VBD IN IN PRP , NNP VBD NNP , WP VBZ CD NN JJ NNP CC VBD DT NN IN DT NN IN DT NNP . NNP PRP VBP IN DT NN VBN . PRP VBP VBD TO VB IN DT NN . VBP IN DT NNP NNP NNP NN , DT NNP VBP CD NNP IN DT NNP NNP , CD IN NN CC CD RB IN DT NN VBN NN IN NNP IN DT NNP NNP . NNP VBD CD NNP NNP IN DT JJ CC NNP NNP CC NNP CD CC JJR NNS TO CD IN DT NNS NNP PRP VBZ . NNP PRP VBD DT JJ NNS IN DT NN CC PRP VBP RB VBG TO VB IN PRP . PRP VBD DT NN , NNP VBD NNP . NNP NNP NNP NNP VBD NNP IN CD VBZ CC CD NNP IN CD NNP NNP . NNP NNP NNP NNP VBD DT NN IN VBG VBD TO DT NN IN DT NNP NNP . NNP NNP IN NNP VBD PRP$ NN . IN NNP , NNP NNP NNP RP DT NNP NNP NNP IN CD IN IN DT NN IN DT JJ CC DT NN NNP VBD TO DT NNP NN IN DT JJ NN DT NN IN PRP$ JJ JJ NN , NNP IN DT NNP NNP . NNP VBZ VBN CD IN PRP$ JJ CD NNP . NNP POS NNP NNP NNP NNP NNP VBD CD RP RB IN PRP$ JJ JJ NNP WRB NNP NNP CD CD IN DT NN IN NNP NNP NNP NNP IN DT NNP NNP CC NNP NNP NNP NNP DT VBN JJ IN NN TO VB NNP IN DT NNP NNP . DT NN VBN NNS POS NNP NNP NNP , CD IN DT NNP DT NN . PRP VBZ PRP$ JJ JJ NN , NNP CD NNP IN CD NNP CC CD NNP . NNP NNP NNP NNP NNP NNP VBD DT NN . IN NNP NNP , NNP NNP CC NNP NNP NNP IN CD VBZ RB IN DT VBN JJ NNP CC NNP NNP NNP DT JJ NNS IN DT NNP NNP IN DT NNP NNP NNP TO DT NNP NN IN DT NNP IN DT NN NN IN PRP$ VBG NN . DT NNS NN NNP NNP NNP NNP NNP IN CD VBZ IN DT JJ . DT NNP VBP VBN IN JJS CD VBZ IN DT JJ NNP IN CD JJ NNP , NNP NNP NNP IN DT JJ NNP IN DT NNP . NNP NNP NNP NNP NNP VBD DT NNP NNP NNP . IN NNP NNP , NNP NNP VBD IN DT NNP -NONE- IN DT NN CC NNP NNP CC NNP NNP NNP NNP NNP IN DT NNP NNP VBD DT NNP NNPS IN DT NNP , NNP PRP PRP$ JJ JJ NN . DT NNP VBD PRP$ JJ NNS CC VBD DT JJ NN NNP NNP NNP NNP NNP NNP NNP NNP , WP -NONE- PRP$ NNP NNP NNP . NNP NNP NNP NNP NNP VBD NNP IN CD CD CC CD NNP IN CD NNP . IN NNP , NNP NNP VBD CD VBZ NNP VBZ TO PRP$ JJ JJ NN IN DT NN CC NNP NN VBD CD NNP , VBG DT NN , CC CD VBZ IN DT NNP NNP NNP NNP DT NNP NNP . DT NNP , WP VBD IN DT NNP NN IN PRP$ JJ CD NNP , VBP VBN CD VBZ IN PRP$ JJ CD NNS . NNP NNP NNP NNP VBN CD NNP . PRP VBZ NNS RB CD VBZ IN PRP$ JJ CD NNP , NNP NNP NNP NNP . IN NNP , NNP NNP NNP NNP NNP , CC NNP NNP NNP IN NNP NNP IN DT NN POS RB NN IN DT NNP NNP IN DT NNP NNP NNP VBZ DT NNP NNP NNP IN DT NN NN TO CD NNP JJ TO NN . NNP VBD PRP$ JJ JJ CC VBD DT NNP NNP PRP$ JJ NN IN CD NNP . NNP NNP NNP NNP NNP CD NNP , NNP CD CC NNP IN CD TO NNP DT JJ NNP NNP NNP . NNP NNP NNP NNP CD CD NNP ."
147,"NNP NNP DT NNP VBP JJ NN IN DT NNP . NNP NNP NNP POS NNP NNP NNP NNP DT JJ NNP IN DT NNP NNP NN IN DT NNP NN NNP TO DT NN RB VBN IN NNP NNP IN NNP . NNP NNP DT JJ NN IN DT CD IN DT NN IN CD NNS TO VB NNP IN DT NN TO VB . IN NNP POS NNP NNP VBD DT NN NN RB IN NNS IN DT NNP NNP , NNP RB VBD PRP$ NN . NNP NNP NNP NNP IN DT NNP NNP CC NNP NNP VBD DT JJ IN DT NNP . DT NN VBD VBN JJ IN NNP WRB NNP NNP NNP CC NNP NNS NNP DT PRP$ JJ NN IN DT NN ."
148,NNP NNP DT NNP NNP NNP NNP . NNP NNP NNP IN DT NNP NNP NNP NNP NN IN NNP : NNP CD NNP CD
149,"NNP NNP DT NNP VBZ JJ NN IN JJ NNP . NNP NNP NNP NNP NNP NNP , NNP IN CD NNS IN NNP , VBD DT NNP NNP NNP TO NNP NNP IN PRP$ NNP NNP IN NNP IN NNP . NNP , WP -NONE- JJ JJ NN , VBD TO DT NN NN IN NNP . NNP NNP VBD DT NN NN IN NNP NNP CC NNP NNP NNP NNP VBD PRP$ NN POS NNP NN RB RB . NNP NNP VBD NNP NNP CD IN CD IN DT NNP NNP CC CD NNS JJ PRP VBD JJ , NNS TO DT NN IN NNP NNP . IN DT NN POS JJ JJ NN , NNP NNP NNP NNP NNP , NNP NNP NNP DT NN IN DT NNP NNP IN NNP NNP NNP NNP . DT NNP VBD NNP IN JJ NN IN DT NNP JJ NN IN CD NNP , RB DT MD VB IN DT JJ NNS VBP IN NNP ."
150,NNP NNP DT NNP NNP NNP NNP NNP NN NN . NNP NNP NNP POS NNP NNP VBD DT NN POS NN NNP NN NN IN NNP WRB PRP VBZ CD NNS NNP NNP IN DT NNP NNP NNP IN NNP . DT JJ NN IN NNP VBD VBN IN NNP POS NNP NNP IN DT JJ NN IN NNP IN NNP JJ NN .
151,"NNP NNP DT NNP NNP NN NNP . NNP NNP NNP IN NNP NNP IN NNP : NNP NNP -NONE- NNP NNP NNP NNP NNP NNP NNP . NNP NNP . NNP NNP . NNP NNP NNP NNP NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP NNP NNP NNP NNP NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP . NNP . NNP ."
152,NNP NNP DT JJ NNP NNP . NNP NNP NN IN DT JJ JJ NN NN IN NNP . NNP -NONE- NNP NNP NNP -NONE- . NNP : CD .
153,NNP NNP DT JJ NNP NNP . NNP NNP NN IN DT JJ JJ NN NN IN NNP . NNP -NONE- NNP NNP NNP -NONE-
154,NNP NNP DT JJ JJ NN NNS . NNP NNP NNP IN NNP NNP NNP NNP NNP IN NNP : NNP NNP CD NNP CD NNP NNP -NONE- NNP CD
155,"NNP NNP DT NNP VBZ JJ NN NN IN CD NNS . NNP NNP NNP NNP NNP POS NNP NNP NNP NNP NNP NNP PRP$ JJ NNP CD IN RB CD NNS IN NNS WRB PRP VBZ DT NN IN DT NNP POS NNP NNP . IN NNP DT NN NN IN DT NNP POS NNP IN NNP JJ NNP , DT NNP NNS CC JJ NNP NNP VBZ CD NNS NNP NNP IN CD IN DT NNP NNP NNP NN . DT NNP NNP IN DT NN IN DT NN JJ NN TO NNP NNP NNP RP DT JJ JJS IN NNP VBN IN NNP POS NNP NNP IN DT JJ NN IN NNP JJ NN . JJ NNP NNP NNP NNP VBN NNP PDT DT NN , NNP NNP IN NNP . CC PRP VBD DT NNP WP -NONE- RP DT NN IN $ NN IN DT JJ NN IN NN IN DT NN IN NN . NNP VBD DT NNP NNS IN DT JJ NNP NNP VBG PRP$ NN TO NN DT NN IN DT JJ NN VBZ . IN PRP JJ NN NN IN DT NNP NN IN NNP JJ NNP , PRP NNP NNP NNP IN DT JJ NN . DT NN IN CD NNS , NNP NNP IN NNP NNP NNP DT NN IN $ CD CD CD NNP IN NN . IN NNP POS NN DT NNP MD VB VBN RB IN $ CD IN JJR IN DT NNP , VBG PRP$ JJ NN IN NN . NNP NNP VBD VBN DT JJ NN IN DT NN JJ TO DT NNP IN DT NNP NNP CC VBD RP IN DT NN NN . NNP RB NNS PRP . VBZ VBN NNP IN DT JJ CD NNP CC DT NN VBD DT JJ NN TO NN NN JJ NNP RB , VBZ IN DT NN IN DT NN IN NNP IN PRP VBD DT NN ."
